nohup: ignoring input
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:21][获取index单例成功...][searcher.hpp 29]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:42][当前已经建立的索引文档数目: 6000][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:43][当前已经建立的索引文档数目: 6050][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:43][当前已经建立的索引文档数目: 6100][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:43][当前已经建立的索引文档数目: 6150][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:43][当前已经建立的索引文档数目: 6200][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:43][当前已经建立的索引文档数目: 6250][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:43][当前已经建立的索引文档数目: 6300][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:43][当前已经建立的索引文档数目: 6350][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:43][当前已经建立的索引文档数目: 6400][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:43][当前已经建立的索引文档数目: 6450][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:44][当前已经建立的索引文档数目: 6500][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:44][当前已经建立的索引文档数目: 6550][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:44][当前已经建立的索引文档数目: 6600][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:44][当前已经建立的索引文档数目: 6650][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:44][当前已经建立的索引文档数目: 6700][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:44][当前已经建立的索引文档数目: 6750][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:44][当前已经建立的索引文档数目: 6800][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:44][当前已经建立的索引文档数目: 6850][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:44][当前已经建立的索引文档数目: 6900][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:45][当前已经建立的索引文档数目: 6950][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:45][当前已经建立的索引文档数目: 7000][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:45][当前已经建立的索引文档数目: 7050][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:45][当前已经建立的索引文档数目: 7100][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:45][当前已经建立的索引文档数目: 7150][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:45][当前已经建立的索引文档数目: 7200][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:45][当前已经建立的索引文档数目: 7250][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:45][当前已经建立的索引文档数目: 7300][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:45][当前已经建立的索引文档数目: 7350][index.hpp 129]
